5 Minutes,Flow,Start Point,End Point
05/01/2016 7:20,48,"100,200","100,150"
05/01/2016 7:25,66,"100,200","100,150"
05/01/2016 7:30,63,"100,200","100,150"
05/01/2016 7:35,56,"100,200","100,150"
05/01/2016 7:40,57,"100,200","100,150"
05/01/2016 7:45,63,"100,200","100,150"
05/01/2016 7:50,59,"100,200","100,150"
05/01/2016 7:55,47,"100,200","100,150"
05/01/2016 8:00,81,"100,200","100,150"
05/01/2016 8:05,64,"100,200","100,150"
05/01/2016 8:10,91,"100,200","100,150"
05/01/2016 8:15,62,"100,200","100,150"
05/01/2016 8:20,80,"100,200","100,150"
05/01/2016 8:25,80,"100,200","100,150"
05/01/2016 8:30,79,"100,200","100,150"
05/01/2016 8:35,85,"100,200","100,150"
05/01/2016 8:40,99,"100,200","100,150"
05/01/2016 8:45,98,"100,200","100,150"
05/01/2016 8:50,89,"100,200","100,150"
05/01/2016 8:55,92,"100,200","100,150"
05/01/2016 9:00,92,"100,200","100,150"
05/01/2016 9:05,93,"100,200","100,150"
05/01/2016 9:10,113,"100,200","100,150"
05/01/2016 9:15,106,"100,200","100,150"
05/01/2016 9:20,101,"100,200","100,150"
05/01/2016 9:25,118,"100,200","100,150"
05/01/2016 9:30,110,"100,200","100,150"
05/01/2016 9:35,100,"100,200","100,150"
05/01/2016 9:40,130,"100,200","100,150"
05/01/2016 9:45,114,"100,200","100,150"
05/01/2016 9:50,122,"100,200","100,150"
05/01/2016 9:55,106,"100,200","100,150"
05/01/2016 10:00,119,"100,200","100,150"
05/01/2016 10:05,121,"100,200","100,150"
05/01/2016 10:10,112,"100,200","100,150"
05/01/2016 10:15,151,"100,200","100,150"
05/01/2016 10:20,124,"100,200","100,150"
05/01/2016 10:25,141,"100,200","100,150"
05/01/2016 10:30,140,"100,200","100,150"
05/01/2016 10:35,137,"100,200","100,150"
05/01/2016 10:40,127,"100,200","100,150"
05/01/2016 10:45,146,"100,200","100,150"
05/01/2016 10:50,135,"100,200","100,150"
05/01/2016 10:55,118,"100,200","100,150"
05/01/2016 11:00,133,"100,200","100,150"
05/01/2016 11:05,145,"100,200","100,150"
05/01/2016 11:10,126,"100,200","100,150"
05/01/2016 11:15,127,"100,200","100,150"
05/01/2016 11:20,153,"100,200","100,150"
05/01/2016 11:25,114,"100,200","100,150"
05/01/2016 11:30,163,"100,200","100,150"
05/01/2016 11:35,137,"100,200","100,150"
05/01/2016 11:40,161,"100,200","100,150"
05/01/2016 11:45,127,"100,200","100,150"
05/01/2016 11:50,174,"100,200","100,150"
05/01/2016 11:55,121,"100,200","100,150"
